Name,Population
Songshan District,206988
Xinyi District,225753
Daan District,309969
Zhongshan District,230710
Zhongzheng District,159608
Datong District,129278
Wanhua District,191850
Wenshan District,274424
Nangang District,122155
Neihu District,287771
Shilin District,288295
Beitou District,256456
