Name,Population
Luzhu District,158369
Guishan District,151529
Longtan District,118402
Fuxing District,3373
Guanyin District,64964
Daxi District,87526
Bade District,192263
Zhongli District,399457
Taoyuan District,436031
Dayuan District,86140
Xinwu District,48406
Yangmei District,164386
Pingzhen District,218373
